word,lemma,headword,part_of_speech,word_family_id,canonical_headword,family_role,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,semantic_notes,related_words,opposites,common_collocations,raw_count_total,document_frequency_total,source_diversity,source_tables,form_counts,core_score,confidence,needs_human_review,review_reason
weathered,weather,weathered,,weather,weather,inflected_form,weathered,,,ancient_ruins_memory,,worn out or damaged by exposure to the elements,,withered;dormant;forsaken,verdant;lush;primal,,19,19,1,ItemSparse,weathered:19,114.9957,0.8,False,
dormant,dormant,dormant,,dormant,dormant,base,dormant,,,ancient_ruins_memory,,in a state of inactivity or suspended animation,,withered;weathered;forsaken,verdant;lush;primal,,49,43,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,dormant:49,91.912,0.8,False,
veiled,veil,veiled,,veil,veil,inflected_form,veiled,,,ancient_ruins_memory,,"hidden or concealed, often in a mysterious or obscure way",,sealed;buried;dormant,exposed;revealed;manifest,,17,17,3,BroadcastText;ItemSparse;JournalEncounterSection,veiled:17,88.8904,0.8,False,
forgotten,forgotten,forgotten,,forgotten,forgotten,base,forgotten,,,ancient_ruins_memory,,having been forgotten or left behind,,forgotten;abandoned;neglected,remembered;recalled,,80,80,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,forgotten:80,42.3944,0.1,True,low_confidence
hidden,hidden,hidden,,hidden,hidden,base,hidden,,,ancient_ruins_memory,,having been concealed or hidden from view,,concealed;hidden;secret,visible;exposed,,80,80,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,hidden:80,42.3944,0.1,True,low_confidence
restored,restore,restored,,restore,restore,inflected_form,restored,,,ancient_ruins_memory,,made or brought back to a former state of good condition,,memories;Runecarver,,,57,56,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,restored:57,42.0604,1.0,False,
primordial,primordial,primordial,,primordial,primordial,base,primordial,,,ancient_ruins_memory,,"existing or occurring at the beginning of something, especially one that is considered ancient or primitive",,ancient;primitive;primeval,modern;advanced;sophisticated,,16,15,4,ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,primordial:16,40.8332,0.8,False,
ruins,ruin,ruins,,ruin,ruin,inflected_form,ruins,,,ancient_ruins_memory,,remains of a destroyed or abandoned building or place,,destruction;abandonment;decay,,,32,30,3,BroadcastText;ItemSparse;JournalEncounter,ruins:32,39.4965,1.0,False,
crumbling,crumbl,crumbling,,crumbl,crumbl,inflected_form,crumbling,,,ancient_ruins_memory,,"falling apart or breaking down, especially because of age or wear",,decaying;rotting;ruined,,,10,10,3,ItemSparse;JournalEncounter;JournalEncounterSection,crumbling:10,38.3979,1.0,False,
faded,fad,faded,,fad,fad,inflected_form,faded,,,ancient_ruins_memory,,"becoming less bright or intense, especially because of age or wear",,diminished;weakened;waning,,,76,76,2,ItemSparse;JournalEncounterSection,faded:76,38.3438,1.0,False,
archive,archive,archive,,archive,archive,base,archive,,,ancient_ruins_memory,,a collection of historical documents or records,,documents;records;history,,,17,17,2,BroadcastText;ItemSparse,archive:17,36.8904,1.0,False,
reclaimed,reclaim,reclaimed,,reclaim,reclaim,inflected_form,reclaimed,,,ancient_ruins_memory,,regained or recovered something that was lost,,regain;recover;retrieve,,,13,13,2,BroadcastText;ItemSparse,reclaimed:13,36.6391,1.0,False,
primeval,primeval,primeval,,primeval,primeval,base,primeval,,,ancient_ruins_memory,,"existing from the beginning of time, or very old",,ancient;primordial;archaic,modern;new,,5,5,1,JournalEncounterSection,primeval:5,33.7918,0.8,False,
archaic,archaic,archaic,,archaic,archaic,base,archaic,,,ancient_ruins_memory,,"old-fashioned or outdated, often in a linguistic sense",,ancient;primordial;archaism,modern;contemporary,,4,4,1,ItemSparse,archaic:4,33.6094,0.8,False,
long-forgotten,long-forgotten,long-forgotten,,long-forgotten,long-forgotten,compound,long-forgotten,,long-forgotten,ancient_ruins_memory,,something that has been forgotten for a long time,,forgotten;lost;abandoned,remembered;preserved,,11,11,3,ItemSparse;JournalEncounter;JournalEncounterSection,long-forgotten:11,33.4849,0.8,False,
roh-kalo,roh-kalo,roh-kalo,,roh-kalo,roh-kalo,compound,roh-kalo,,roh-kalo,ancient_ruins_memory,,"Roh-Kalo, ancient ruins and memory",,fatescribe;Korthia's secrets,,,11,10,2,JournalEncounter;JournalEncounterSection,roh-kalo:11,31.4849,1.0,False,
half-finished,half-finish,half-finished,,half-finish,half-finish,compound,half-finished,,half-finished,ancient_ruins_memory,,not yet completed or finished,,finish;complete;incomplete,,,5,5,2,ItemSparse;JournalEncounterSection,half-finished:5,30.7918,0.8,False,
once-great,once-great,once-great,,once-great,once-great,compound,once-great,,once-great,ancient_ruins_memory,,"former, past greatness or glory",,great;former,small;unimportant,,2,2,2,BroadcastText;ItemSparse,once-great:2,30.0986,0.7,True,low_confidence
foul-smelling,foul-smell,foul-smelling,,foul-smell,foul-smell,compound,foul-smelling,,foul-smelling,ancient_ruins_memory,,having a strong and unpleasant smell,,stinky;odorous;fetid,fragrant;sweet-smelling;pleasant,,11,11,1,ItemSparse,foul-smelling:11,29.4849,0.7,True,low_confidence
odd-looking,odd-look,odd-looking,,odd-look,odd-look,compound,odd-looking,,odd-looking,ancient_ruins_memory,,something that looks unusual or strange,,look;appear;strange,normal;usual,,6,6,1,ItemSparse,odd-looking:6,28.9459,0.8,False,
complicated-looking,complicated-look,complicated-looking,,complicated-look,complicated-look,compound,complicated-looking,,complicated-looking,ancient_ruins_memory,,something that looks complex or difficult to understand,,look;appear;complex,simple;easy,,5,5,1,ItemSparse,complicated-looking:5,28.7918,0.7,True,low_confidence
rak-zakaz,rak-zakaz,rak-zakaz,,rak-zakaz,rak-zakaz,compound,rak-zakaz,,rak-zakaz,ancient_ruins_memory,,a mysterious place or ritual site,,place;ritual,,,5,5,1,ItemSparse,rak-zakaz:5,28.7918,0.8,False,
eco-dome,eco-dome,eco-dome,,eco-dome,eco-dome,compound,eco-dome,,eco-dome,ancient_ruins_memory,,a structure or building that is environmentally friendly,,structure;building;environmentally friendly,,,4,4,1,ItemSparse,eco-dome:4,28.6094,0.8,False,
many-faced,many-fac,many-faced,,many-fac,many-fac,compound,many-faced,,many-faced,ancient_ruins_memory,,having many faces or aspects,,faces;aspects,,,4,4,1,ItemSparse,many-faced:4,28.6094,0.9,False,
tainted,taint,tainted,,taint,taint,inflected_form,tainted,,,corruption_defilement_curse,,"contaminated or polluted, morally corrupted",,defiled;desecrated;profane,hallowed;consecrated;sanctified,,53,49,3,ItemSparse;JournalEncounter;JournalEncounterSection,tainted:53,119.989,0.8,False,
desecrated,desecrate,desecrated,,desecrate,desecrate,inflected_form,desecrated,,,corruption_defilement_curse,,"made or considered unclean, polluted",,defiled;tainted;profane,hallowed;consecrated;sanctified,,18,13,3,ItemSparse;JournalEncounter;JournalEncounterSection,desecrated:18,118.9444,0.8,False,
defiled,defile,defiled,,defile,defile,related_concept,defiled,,,corruption_defilement_curse,,"made or considered unclean, polluted",,tainted;desecrated;profane,hallowed;consecrated;sanctified,,11,10,3,BroadcastText;ItemSparse;JournalEncounterSection,defiled:11,118.4849,0.8,False,
sundered,sunder,sundered,,sunder,sunder,inflected_form,sundered,,,corruption_defilement_curse,,"broken or separated, torn apart",,defiled;desecrated;tainted,hallowed;consecrated;sanctified,,15,14,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,sundered:15,90.7726,0.8,False,
blighted,blight,blighted,,blight,blight,inflected_form,blighted,,,corruption_defilement_curse,,"affected or damaged by a curse, plague, or other negative force",,tainted;defiled;desecrated,hallowed;consecrated;sanctified,,4,4,3,BroadcastText;ItemSparse;JournalEncounterSection,blighted:4,87.6094,0.8,False,
tarnished,tarnish,tarnished,,tarnish,tarnish,inflected_form,tarnished,,,corruption_defilement_curse,,covered in a layer of corrosion or grime,,weathered;withered,,,10,10,1,ItemSparse,tarnished:10,84.3979,0.9,False,
corrupted,corrupt,corrupted,,corrupt,corrupt,related_concept,corrupted,,,corruption_defilement_curse,,tainted or influenced by evil or dark forces,,defiled;tainted,,,190,176,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,corrupted:190,45.2523,0.9,False,
relic,relic,relic,,relic,relic,base,relic,,,corruption_defilement_curse,,an object or place that is considered sacred or of great importance,,treasured;sacred;important,profane;unholy,,97,92,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,relic:97,44.585,0.9,False,
sealed,seal,sealed,,seal,seal,inflected_form,sealed,,,corruption_defilement_curse,,"closed or locked, often to keep something inside or out",,locked;closed;barred,unsealed;open,,84,84,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,sealed:84,44.4427,0.7,True,low_confidence
awakened,awaken,awakened,,awaken,awaken,inflected_form,awakened,,,corruption_defilement_curse,,"made aware or conscious of something, often in a sudden or dramatic way",,aware;conscious;alert,asleep;unconscious,,79,70,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,awakened:79,44.382,0.4,True,low_confidence
twisted,twist,twisted,,twist,twist,inflected_form,twisted,,,corruption_defilement_curse,,having been distorted or corrupted in some way,,distorted;corrupted;perverted,straight;normal,,143,133,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,twisted:143,42.9698,0.2,True,low_confidence
shattered,shatter,shattered,,shatter,shatter,inflected_form,shattered,,,corruption_defilement_curse,,having been broken or destroyed in some way,,broken;destroyed;ruined,intact;whole,,104,102,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,shattered:104,42.654,0.1,True,low_confidence
cursed,curs,cursed,,curs,curs,inflected_form,cursed,,,corruption_defilement_curse,,placed under a magical or supernatural penalty,,hexed;afflicted,,,58,56,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,cursed:58,42.0775,1.0,False,
stained,stain,stained,,stain,stain,inflected_form,stained,,,corruption_defilement_curse,,tainted or polluted by something unpleasant or unclean,,hexed;afflicted,,,46,46,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,stained:46,41.8501,1.0,False,
vile,vile,vile,,vile,vile,base,vile,,,corruption_defilement_curse,,morally repugnant or disgusting,,hexed;afflicted,,,46,46,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,vile:46,41.8501,1.0,False,
afflicted,afflict,afflicted,,afflict,afflict,inflected_form,afflicted,,,corruption_defilement_curse,,"suffering from a disease or injury, typically one that is serious or chronic",,ill;sick;injured,,,276,243,3,ItemSparse;JournalEncounter;JournalEncounterSection,afflicted:276,41.624,1.0,False,
decaying,decay,decaying,,decay,decay,inflected_form,decaying,,,corruption_defilement_curse,,"rotting or falling apart, typically due to age or disease",,rotten;moldy;fungal,,,31,29,4,ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,decaying:31,41.4657,1.0,False,
warped,warp,warped,,warp,warp,inflected_form,warped,,,corruption_defilement_curse,,"twisted or distorted, especially in a way that is considered abnormal or unnatural",,twisted;distorted;deformed,straight;normal;natural,,16,16,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,warped:16,40.8332,0.7,True,low_confidence
fractured,fractur,fractured,,fractur,fractur,inflected_form,fractured,,,corruption_defilement_curse,,"broken or split, especially in a way that is considered incomplete or imperfect",,broken;split;shattered,whole;intact;complete,,119,115,3,BroadcastText;ItemSparse;JournalEncounterSection,fractured:119,40.7875,0.8,False,
searing,sear,searing,,sear,sear,inflected_form,searing,,,corruption_defilement_curse,,causing intense heat or pain,,blazing;scorching;fiery,cooling;soothing;chilling,,107,103,3,ItemSparse;JournalEncounter;JournalEncounterSection,searing:107,40.6821,0.8,False,
plagued,plague,plagued,,plague,plague,inflected_form,plagued,,,corruption_defilement_curse,,affected or troubled by a problem or difficulty,,afflicted;tormented;distressed,blessed;protected;untroubled,,11,11,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,plagued:11,40.4849,0.9,False,
smoldering,smolder,smoldering,,smolder,smolder,inflected_form,smoldering,,,corruption_defilement_curse,,"burning or glowing with a low, steady flame, often in a way that is considered smoky or unpleasant",,glowing;smoking;flickering,extinguished;dormant;inactive,,39,37,3,ItemSparse;JournalEncounter;JournalEncounterSection,smoldering:39,39.6889,0.8,False,
contaminated,contaminate,contaminated,,contaminate,contaminate,inflected_form,contaminated,,,corruption_defilement_curse,,made impure or polluted by something unwanted,,polluted;tainted;defiled,,,15,12,3,ItemSparse;JournalEncounter;JournalEncounterSection,contaminated:15,38.7726,1.0,False,
malignant,malignant,malignant,,malignant,malignant,base,malignant,,,corruption_defilement_curse,,"causing or showing harm or evil, especially in a way that is intentional or deliberate",,harmful;detrimental;pernicious,,,9,8,3,ItemSparse;JournalEncounter;JournalEncounterSection,malignant:9,38.3026,1.0,False,
rotting,rott,rotting,,rott,rott,inflected_form,rotting,,,corruption_defilement_curse,,"decaying or breaking down, especially because of age or wear",,decaying;putrid;foul,,,9,9,3,ItemSparse;JournalEncounter;JournalEncounterSection,rotting:9,38.3026,1.0,False,
marred,marr,marred,,marr,marr,inflected_form,marred,,,corruption_defilement_curse,,"damaged or disfigured, often in a way that is unpleasant to look at",,damage;disfigure;unpleasant,beautiful;attractive,,3,3,2,ItemSparse;JournalEncounter,marred:3,35.3863,0.8,False,
all-consuming,all-consum,all-consuming,,all-consum,all-consum,compound,all-consuming,,all-consuming,corruption_defilement_curse,,"All-consuming rage, corruption and curse",,malignant chaos;rage,,,3,3,3,ItemSparse;JournalEncounter;JournalEncounterSection,all-consuming:3,32.3863,1.0,False,
all-devouring,all-devour,all-devouring,,all-devour,all-devour,compound,all-devouring,,all-devouring,corruption_defilement_curse,,"All-Devouring, corruption and curse",,new;opponent,,,8,8,2,BroadcastText;JournalEncounter,all-devouring:8,31.1972,1.0,False,
anti-magic,anti-magic,anti-magic,,anti-magic,anti-magic,compound,anti-magic,,anti-magic,corruption_defilement_curse,,a type of magic that opposes other magic,,magic;oppose;curse,,,5,5,2,ItemNameDescription;JournalEncounterSection,anti-magic:5,30.7918,0.7,True,low_confidence
fel-infused,fel-infus,fel-infused,,fel-infus,fel-infus,compound,fel-infused,,fel-infused,corruption_defilement_curse,,contaminated with dark magic,,dark;magic;contaminate,,,5,5,2,ItemSparse;JournalEncounterSection,fel-infused:5,30.7918,0.8,False,
fel-powered,fel-power,fel-powered,,fel-power,fel-power,compound,fel-powered,,fel-powered,corruption_defilement_curse,,powered or energized by dark magic,,dark;magic;energy,,,4,4,2,ItemSparse;JournalEncounterSection,fel-powered:4,30.6094,0.9,False,
one-by-one,one-by-one,one-by-one,,one-by-one,one-by-one,compound,one-by-one,,one-by-one,corruption_defilement_curse,,"step by step, one at a time",,slowly;gradually,all-at-once,,3,3,2,ItemSparse;JournalEncounter,one-by-one:3,30.3863,0.8,False,
void-infused,void-infus,void-infused,,void-infus,void-infus,compound,void-infused,,void-infused,corruption_defilement_curse,,"contaminated, tainted by void energy",,tainted;polluted,pure;clean,,3,3,2,ItemSparse;JournalEncounter,void-infused:3,30.3863,0.7,True,low_confidence
sin-stained,sin-stain,sin-stained,,sin-stain,sin-stain,compound,sin-stained,,sin-stained,corruption_defilement_curse,,"tainted, stained by sin or evil",,stained;tainted,pure;clean,,2,2,2,JournalEncounter;JournalEncounterSection,sin-stained:2,30.0986,0.7,True,low_confidence
super-charged,super-charg,super-charged,,super-charg,super-charg,compound,super-charged,,super-charged,corruption_defilement_curse,,having a lot of energy or power,,charged;energized;powered,drained;exhausted;weakened,,2,2,2,ItemSparse;JournalEncounter,super-charged:2,30.0986,0.8,False,
whip-like,whip-like,whip-like,,whip-like,whip-like,compound,whip-like,,whip-like,corruption_defilement_curse,,like a whip in shape or movement,,tentacle;cord;plasma,soft;gentle;delicate,,2,2,2,ItemSparse;JournalEncounterSection,whip-like:2,30.0986,0.6,True,low_confidence
bile-o-tron,bile-o-tron,bile-o-tron,,bile-o-tron,bile-o-tron,compound,bile-o-tron,,bile-o-tron,corruption_defilement_curse,,a device or machine that produces bile or a similar substance,,device;machine;apparatus,healthy;wholesome;pure,,8,6,1,JournalEncounterSection,bile-o-tron:8,29.1972,0.7,True,low_confidence
poison-tipped,poison-tipp,poison-tipped,,poison-tipp,poison-tipp,compound,poison-tipped,,poison-tipped,corruption_defilement_curse,,having a tip or point that is poisonous,,poison;tip;point,safe;harmless,,6,6,1,JournalEncounterSection,poison-tipped:6,28.9459,0.9,False,
fel-afflicted,fel-afflict,fel-afflicted,,fel-afflict,fel-afflict,compound,fel-afflicted,,fel-afflicted,corruption_defilement_curse,,something that has been afflicted or affected by fel energy,,afflicted;affected;fel,healthy;whole,,5,5,1,JournalEncounterSection,fel-afflicted:5,28.7918,0.9,False,
profane,profane,profane,,profane,profane,base,profane,,,dark_profane,,"considered unclean or polluted, morally corrupted",,tainted;defiled;desecrated,hallowed;consecrated;sanctified,,3,3,2,ItemSparse;JournalEncounter,profane:3,115.3863,0.7,True,low_confidence
sinister,sinister,sinister,,sinister,sinister,base,sinister,,,dark_profane,,having or showing a wicked or evil nature,,wicked;evil,,,98,98,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,sinister:98,44.5951,0.5,True,low_confidence
dire,dire,dire,,dire,dire,base,dire,,,dark_profane,,"serious or severe, often in a way that is frightening or unpleasant",,serious;severe;frightening,hopeful;encouraging,,49,44,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,dire:49,43.912,0.7,True,low_confidence
malevolent,malevolent,malevolent,,malevolent,malevolent,base,malevolent,,,dark_profane,,having or showing a wish to do harm to others,,evil;wicked;cruel,benevolent;kind;gentle,,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,malevolent:27,41.3322,0.9,False,
damned,damn,damned,,damn,damn,inflected_form,damned,,,dark_profane,,"considered to be evil or wicked, and therefore punished or cursed",,cursed;doomed;lost,blessed;saved;redeemed,,26,24,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,damned:26,41.2958,0.8,False,
accursed,accurs,accursed,,accurs,accurs,inflected_form,accursed,,,dark_profane,,"considered to be evil or wicked, and therefore cursed or punished",,cursed;doomed;lost,blessed;saved;redeemed,,14,13,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,accursed:14,40.7081,0.7,True,low_confidence
blasphemous,blasphemou,blasphemous,,blasphemou,blasphemou,inflected_form,blasphemous,,,dark_profane,,offending or insulting a deity or sacred thing,,sacrilegious;heretical;impious,pious;devout;reverent,,1,1,1,JournalEncounter,blasphemous:1,32.6931,0.8,False,
heretical,heretical,heretical,,heretical,heretical,base,heretical,,,dark_profane,,contrary to or rejecting established doctrine or faith,,sacrilegious;impious;blasphemous,orthodox;conformist;traditional,,1,1,1,ItemSparse,heretical:1,32.6931,0.9,False,
lost,lost,lost,,lost,lost,base,lost,,,death_mourning,,not found or unable to be located,,found;discovered,,,256,254,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,lost:256,45.5491,0.1,True,low_confidence
remains,remain,remains,,remain,remain,inflected_form,remains,,,death_mourning,,the parts of something that are left after it has been destroyed or broken down,,parts;destroyed;broken,intact;whole,,220,216,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,remains:220,43.3982,0.8,False,
fallen,fallen,fallen,,fallen,fallen,base,fallen,,,death_mourning,,having fallen or been defeated,,defeated;beaten;conquered,victorious;triumphant,,169,160,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,fallen:169,43.1358,0.7,True,low_confidence
tomb,tomb,tomb,,tomb,tomb,base,tomb,,,death_mourning,,"a structure or building for the burial of a dead person, typically with a stone monument or memorial",,grave;sepulcher;mausoleum,,,39,37,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,tomb:39,41.6889,1.0,False,
grave,grave,grave,,grave,grave,base,grave,,,death_mourning,,"a hole or pit dug in the ground for burying a dead person, typically one that is marked with a stone monument or memorial",,tomb;sepulcher;mausoleum,,,27,27,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,grave:27,41.3322,1.0,False,
sepulcher,sepulcher,sepulcher,,sepulcher,sepulcher,base,sepulcher,,,death_mourning,,"a building or structure that is used as a tomb or burial place, especially one that is grand or elaborate",,tomb;mausoleum;cemetery,living;alive;breathing,,18,17,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,sepulcher:18,40.9444,0.8,False,
