word_family_id,canonical_headword,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,related_words,opposites,raw_count_total,document_frequency_total,source_diversity,source_tables,confidence,needs_human_review
teach,teach,teach;teaches,,,magic_artifacts_runes;trade_crafting,,"to instruct or educate someone, possibly referring to a concept of skill or craftsmanship in the game",instruct;educate;train,ignores;neglects;overlooks,9199,9194,3,BroadcastText;ItemSparse;JournalEncounter,0.7,True
player,player,player;players,,,light_holy,,people who play a game or sport,game;sport;recreation,,6078,4861,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
summon,summon,summon;summoned;summoning;summons,,,corruption_defilement_curse;magic_artifacts_runes,,to call or bring something into existence,call;invoke;conjure,,3826,3809,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
inflict,inflict,inflict;inflicted;inflicting;inflicts,,,corruption_defilement_curse,,causes harm or suffering to someone or something,harm;injure;damage,heals;restores;protects,3264,3044,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
craft,craft,craft;crafted;crafting,,,trade_crafting,,to create or make something by hand,forge;skilled,,3212,3209,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.4,True
any,any,any,,,light_holy,,used to indicate that something is possible or allowed,possible;allowed;permitted,,2294,2257,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
within,within,within,,,light_holy,,located or happening inside something,inside;within;interior,,1791,1683,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
companion,companion,companion;companions,,,family_relationships,,a person who accompanies or is with another,friend;partner,,1427,1425,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
contain,contain,contain;containing;contains,,,corruption_defilement_curse;trade_crafting,,holds or includes something,has;includes;encloses,,1395,1390,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
socket,socket,socket;socketed,,,forge_weapons_armor,,a hole or recess in a surface for receiving something,hole;recess;insertion,,1290,1290,2,ItemSparse;JournalEncounter,0.6,True
house,house,house,,,light_holy,,a building for human habitation,building;dwelling;residence,,1281,1216,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
sold,sold,sold,,,war_conflict,,"to be sold or transferred, possibly referring to a concept of war or conflict in the game",sell;transfer;exchange,bought;purchased;acquired,1205,1199,2,BroadcastText;ItemSparse,0.7,True
these,these,these,,,trade_crafting,,used to refer to things that are present or near the speaker,those;this,,1195,1173,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
match,match,match;matched;matches;matching,,,trade_crafting;war_conflict,,to fit or correspond with something else,fit;correspond;match,mismatch;incompatible,1150,1146,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
every,every,every,,,nature_druid_emerald,,happening or done for each person or thing in a group,each;all,,1149,1086,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
auction,auction,auction,auction,,trade_crafting,,"a public sale or competition, often used to buy or sell goods",sale;competition;goods,purchase;buy,1107,1106,1,ItemSparse,0.8,False
bought,bought,bought,,,trade_crafting,,"to purchase or acquire something, often in exchange for money or other goods",buy;purchase;acquire,sell;give away;discard,1096,1096,2,BroadcastText;ItemSparse,0.9,False
difficulty,difficulty,difficulties;difficulty,,,war_conflict,,a problem or challenge to be overcome,problem;challenge;conflict,,1036,926,3,BroadcastText;ItemSparse;JournalEncounterSection,0.9,False
skill,skill,skill;skills,,,light_holy;trade_crafting,,a talent or ability to do something well,talent;ability;expertise,,817,816,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
ally,ally,allies;ally,,,war_conflict,,people or groups that work together to achieve a common goal,friends;partners,,796,721,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
